 Keyword	Units	Type	Component	Legend Label
FsExt_L1	N	Force	Suspensions	L1Ext spring force (comp.)	L1Ext spring (comp.)
FsExt_L2	N	Force	Suspensions	L2Ext spring force (comp.)	L2Ext spring (comp.)
FsExt_R1	N	Force	Suspensions	R1Ext spring force (comp.)	R1Ext spring (comp.)
FsExt_R2	N	Force	Suspensions	R2Ext spring force (comp.)	R2Ext spring (comp.)
Fs_L1	N	Force	Suspensions	L1 spring force (comp.)	L1 spring (comp.)
Fs_L2	N	Force	Suspensions	L2 spring force (comp.)	L2 spring (comp.)
Fs_R1	N	Force	Suspensions	R1 spring force (comp.)	R1 spring (comp.)
Fs_R2	N	Force	Suspensions	R2 spring force (comp.)	R2 spring (comp.)
FullStep	-	Boolean	Time	Integrator full-step status	Integrator full-step status
FxExL1	N	Force	External actions	External FxExL1	Suspension
FxExL2	N	Force	External actions	External FxExL2	Suspension
FxExR1	N	Force	External actions	External FxExR1	Suspension
FxExR2	N	Force	External actions	External FxExR2	Suspension
FxGExL1	N	Force	External actions	External FxGExL1	Suspension
FxGExL2	N	Force	External actions	External FxGExL2	Suspension
FxGExR1	N	Force	External actions	External FxGExR1	Suspension
FxGExR2	N	Force	External actions	External FxGExR2	Suspension
Fx_A1	N	Force	Tires	Axle 1 longitudinal tire force	Axle 1 longitudinal tire force
Fx_A2	N	Force	Tires	Axle 2 longitudinal tire force	Axle 2 longitudinal tire force
Fx_Air	N	Force	Aerodynamics	Vehicle long. aero. force	Vehicle aerodynamic X
Fx_L1	N	Force	Tires	Tire L1 longitudinal force	Tire L1 longitudinal
Fx_L2	N	Force	Tires	Tire L2 longitudinal force	Tire L2 longitudinal
Fx_R1	N	Force	Tires	Tire R1 longitudinal force	Tire R1 longitudinal
Fx_R2	N	Force	Tires	Tire R2 longitudinal force	Tire R2 longitudinal
Fx_Wc_L1	N	Force	Wheels	Tire Fx at wheel center L1	Tire Fx at wheel center L1
Fx_Wc_L2	N	Force	Wheels	Tire Fx at wheel center L2	Tire Fx at wheel center L2
Fx_Wc_R1	N	Force	Wheels	Tire Fx at wheel center R1	Tire Fx at wheel center R1
Fx_Wc_R2	N	Force	Wheels	Tire Fx at wheel center R2	Tire Fx at wheel center R2
FyExL1	N	Force	External actions	External FyExL1	Suspension
FyExL2	N	Force	External actions	External FyExL2	Suspension
FyExR1	N	Force	External actions	External FyExR1	Suspension
FyExR2	N	Force	External actions	External FyExR2	Suspension
FyGExL1	N	Force	External actions	External FyGExL1	Suspension
FyGExL2	N	Force	External actions	External FyGExL2	Suspension
FyGExR1	N	Force	External actions	External FyGExR1	Suspension
FyGExR2	N	Force	External actions	External FyGExR2	Suspension
Fy_A1	N	Force	Tires	Axle 1 lateral tire force	Axle 1 lateral tire force
Fy_A2	N	Force	Tires	Axle 2 lateral tire force	Axle 2 lateral tire force
Fy_Air	N	Force	Aerodynamics	Vehicle lat. aero. force	Vehicle aerodynamic Y
Fy_L1	N	Force	Tires	Tire L1 lateral force	Tire L1 lateral
Fy_L2	N	Force	Tires	Tire L2 lateral force	Tire L2 lateral
Fy_R1	N	Force	Tires	Tire R1 lateral force	Tire R1 lateral
Fy_R2	N	Force	Tires	Tire R2 lateral force	Tire R2 lateral
Fy_Wc_L1	N	Force	Wheels	Tire Fy at wheel center L1	Tire Fy at wheel center L1
Fy_Wc_L2	N	Force	Wheels	Tire Fy at wheel center L2	Tire Fy at wheel center L2
Fy_Wc_R1	N	Force	Wheels	Tire Fy at wheel center R1	Tire Fy at wheel center R1
Fy_Wc_R2	N	Force	Wheels	Tire Fy at wheel center R2	Tire Fy at wheel center R2
FzExL1	N	Force	External actions	External FzExL1	Suspension
FzExL2	N	Force	External actions	External FzExL2	Suspension
FzExR1	N	Force	External actions	External FzExR1	Suspension
FzExR2	N	Force	External actions	External FzExR2	Suspension
FzGExL1	N	Force	External actions	External FzGExL1	Suspension
FzGExL2	N	Force	External actions	External FzGExL2	Suspension
FzGExR1	N	Force	External actions	External FzGExR1	Suspension
FzGExR2	N	Force	External actions	External FzGExR2	Suspension
Fz_A1	N	Force	Tires	Axle 1 vertical tire force	Axle 1 vertical tire force
Fz_A2	N	Force	Tires	Axle 2 vertical tire force	Axle 2 vertical tire force
Fz_Air	N	Force	Aerodynamics	Vehicle vert. aero. force	Vehicle aerodynamic Z
Fz_L1	N	Force	Tires	Tire L1 vertical force	Tire L1 vertical
Fz_L2	N	Force	Tires	Tire L2 vertical force	Tire L2 vertical
Fz_R1	N	Force	Tires	Tire R1 vertical force	Tire R1 vertical
Fz_R2	N	Force	Tires	Tire R2 vertical force	Tire R2 vertical
Fz_Wc_L1	N	Force	Wheels	Tire Fz at wheel center L1	Tire Fz at wheel center L1
Fz_Wc_L2	N	Force	Wheels	Tire Fz at wheel center L2	Tire Fz at wheel center L2
Fz_Wc_R1	N	Force	Wheels	Tire Fz at wheel center R1	Tire Fz at wheel center R1
Fz_Wc_R2	N	Force	Wheels	Tire Fz at wheel center R2	Tire Fz at wheel center R2
F_Boost1	N	Force	Steering	Axle 1 steering boost force	Axle 1 power steering
F_Boost2	N	Force	Steering	Axle 2 steering boost force	Axle 2 power steering
F_Pedal	N	Force	Brakes	Brake pedal force	Brake Pedal
Gamma_L1	deg	Angle	Tires	Inclination angle, tire L1	Tire L1 inclination
Gamma_L2	deg	Angle	Tires	Inclination angle, tire L2	Tire L2 inclination
Gamma_R1	deg	Angle	Tires	Inclination angle, tire R1	Tire R1 inclination
Gamma_R2	deg	Angle	Tires	Inclination angle, tire R2	Tire R2 inclination
GearStat	-	Gear	Powertrain	Transmission gear status	Transmission gear status
Gear_CL	-	Gear	Powertrain	Closed-loop transmission gear	Closed-loop transmission gear
Gear_OL	-	Gear	Powertrain	Open-loop transmission gear	Open-loop transmission gear
GPSlongA	deg	GPS longitude	Chassis motion	GPS absolute longitude	Vehicle
GPS_Lat	deg	GPS latitude	Chassis motion	GPS relative latitude	Vehicle
GPS_LatA	deg	GPS latitude	Chassis motion	GPS absolute latitude	Vehicle
GPS_Long	deg	GPS longitude	Chassis motion	GPS relative longitude	Vehicle
ID_Event	-	ID number	Database	ID number of event	ID of event
ID_Run	-	ID number	Database	ID number of run	ID of run
Ispin_Tr	kg-m2	inertia	Powertrain	Transmission spin inertia	Transmission spin inertia
Iw_Dr_L1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L1	Drive wheel L1
Iw_Dr_L2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel L2	Drive wheel L2
Iw_Dr_R1	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R1	Drive wheel R1
Iw_Dr_R2	kg-m2	Inertia	Powertrain	Driveline inertia for wheel R2	Drive wheel R2
Jnc_L1	mm	Compression	Suspensions	Wheel L1 jounce (compression)	Wheel L1 jounce
Jnc_L2	mm	Compression	Suspensions	Wheel L2 jounce (compression)	Wheel L2 jounce
Jnc_R1	mm	Compression	Suspensions	Wheel R1 jounce (compression)	Wheel R1 jounce
Jnc_R2	mm	Compression	Suspensions	Wheel R2 jounce (compression)	Wheel R2 jounce
Kappa_L1	-	Dimensionless ratio	Tires	Longitudinal slip, tire L1	Tire L1 long. slip
Kappa_L2	-	Dimensionless ratio	Tires	Longitudinal slip, tire L2	Tire L2 long. slip
Kappa_R1	-	Dimensionless ratio	Tires	Longitudinal slip, tire R1	Tire R1 long. slip
Kappa_R2	-	Dimensionless ratio	Tires	Longitudinal slip, tire R2	Tire R2 long. slip
KappL_L1	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L1	Tire L1 long. slip (lagged)
KappL_L2	-	Dimensionless ratio	Tires	Long. slip (lagged), tire L2	Tire L2 long. slip (lagged)
KappL_R1	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R1	Tire R1 long. slip (lagged)
KappL_R2	-	Dimensionless ratio	Tires	Long. slip (lagged), tire R2	Tire R2 long. slip (lagged)
Ksf_Gnd	s2/m2	Stability factor	Chassis motion	Vehicle ground stab. factor	Vehicle ground wheels
Ksf_StrR	s2/m2	Stability factor	Chassis motion	Vehicle red. SW stab. factor	Vehicle reduced SWA
Kug_Gnd	deg/g	Understeer gradient	Chassis motion	Vehicle ground understeer grad.	Vehicle ground wheels
Kug_StrR	deg/g	Understeer gradient	Chassis motion	Vehicle red. SW understeer grad.	Vehicle reduced SWA
K_TC	Kinv	Inverse capacity	Powertrain	TC inverse capacity	Torque converter
Lat_Targ	m	Lateral distance to path	Driver model path	Target lateral offset from path	Target
Lat_Veh	m	Lateral distance to path	Driver model path	Vehicle lateral distance to path	Vehicle
Mfuel	kg	Fuel consumed	Powertrain	Mass of fuel consumed	Fuel
mod1_L1	-	mod1_L1	VS Commands	mod1_L1	mod1_L1
mod1_L2	-	mod1_L2	VS Commands	mod1_L2	mod1_L2
mod1_R1	-	mod1_R1	VS Commands	mod1_R1	mod1_R1
mod1_R2	-	mod1_R2	VS Commands	mod1_R2	mod1_R2
mod2_L1	-	mod2_L1	VS Commands	mod2_L1	mod2_L1
mod2_L2	-	mod2_L2	VS Commands	mod2_L2	mod2_L2
mod2_R1	-	mod2_R1	VS Commands	mod2_R1	mod2_R1
mod2_R2	-	mod2_R2	VS Commands	mod2_R2	mod2_R2
mod3_L1	-	mod3_L1	VS Commands	mod3_L1	mod3_L1
mod3_L2	-	mod3_L2	VS Commands	mod3_L2	mod3_L2
mod3_R1	-	mod3_R1	VS Commands	mod3_R1	mod3_R1
mod3_R2	-	mod3_R2	VS Commands	mod3_R2	mod3_R2
mod4_L1	-	mod4_L1	VS Commands	mod4_L1	mod4_L1
mod4_L2	-	mod4_L2	VS Commands	mod4_L2	mod4_L2
mod4_R1	-	mod4_R1	VS Commands	mod4_R1	mod4_R1
mod4_R2	-	mod4_R2	VS Commands	mod4_R2	mod4_R2
ModeTran	-	Transmission control mode	Powertrain	Transmission control mode	Transmission control mode
MuX_L1	-	Friction coefficient	Ground and road	Ground X friction for tire L1	Tire/Ground X L1
MuX_L2	-	Friction coefficient	Ground and road	Ground X friction for tire L2	Tire/Ground X L2
MuX_R1	-	Friction coefficient	Ground and road	Ground X friction for tire R1	Tire/Ground X R1
MuX_R2	-	Friction coefficient	Ground and road	Ground X friction for tire R2	Tire/Ground X R2
MuY_L1	-	Friction coefficient	Ground and road	Ground Y friction for tire L1	Tire/Ground Y L1
MuY_L2	-	Friction coefficient	Ground and road	Ground Y friction for tire L2	Tire/Ground Y L2
MuY_R1	-	Friction coefficient	Ground and road	Ground Y friction for tire R1	Tire/Ground Y R1
MuY_R2	-	Friction coefficient	Ground and road	Ground Y friction for tire R2	Tire/Ground Y R2
MxExL1	N-m	Moment	External actions	External MxExL1	Suspension
MxExL2	N-m	Moment	External actions	External MxExL2	Suspension
MxExR1	N-m	Moment	External actions	External MxExR1	Suspension
MxExR2	N-m	Moment	External actions	External MxExR2	Suspension
MxGExL1	N-m	Moment	External actions	External MxGExL1	Suspension
MxGExL2	N-m	Moment	External actions	External MxGExL2	Suspension
MxGExR1	N-m	Moment	External actions	External MxGExR1	Suspension
MxGExR2	N-m	Moment	External actions	External MxGExR2	Suspension
MXGEXT	N-m	Moment	External actions	External MxG 	Sprung mass
Mx_A1	N-m	Moment	Suspensions	Axle 1 auxiliary roll moment	Axle 1 auxiliary roll moment
Mx_A2	N-m	Moment	Suspensions	Axle 2 auxiliary roll moment	Axle 2 auxiliary roll moment
Mx_Air	N-m	Moment	Aerodynamics	Vehicle aero. roll moment	Vehicle aerodynamic X
MX_EXT	N-m	Moment	External actions	External Mx 	Sprung mass
Mx_L1	N-m	Moment	Tires	Tire L1 overturning moment	Tire L1 overturning
Mx_L2	N-m	Moment	Tires	Tire L2 overturning moment	Tire L2 overturning
Mx_R1	N-m	Moment	Tires	Tire R1 overturning moment	Tire R1 overturning
Mx_R2	N-m	Moment	Tires	Tire R2 overturning moment	Tire R2 overturning
Mx_Wc_L1	N-m	Moment	Wheels	Tire Mx at wheel center L1	Tire Mx at wheel center L1
Mx_Wc_L2	N-m	Moment	Wheels	Tire Mx at wheel center L2	Tire Mx at wheel center L2
Mx_Wc_R1	N-m	Moment	Wheels	Tire Mx at wheel center R1	Tire Mx at wheel center R1
Mx_Wc_R2	N-m	Moment	Wheels	Tire Mx at wheel center R2	Tire Mx at wheel center R2
MyExL1	N-m	Moment	External actions	External MyExL1	Suspension
MyExL2	N-m	Moment	External actions	External MyExL2	Suspension
MyExR1	N-m	Moment	External actions	External MyExR1	Suspension
MyExR2	N-m	Moment	External actions	External MyExR2	Suspension
MyGExL1	N-m	Moment	External actions	External MyGExL1	Suspension
MyGExL2	N-m	Moment	External actions	External MyGExL2	Suspension
MyGExR1	N-m	Moment	External actions	External MyGExR1	Suspension
MyGExR2	N-m	Moment	External actions	External MyGExR2	Suspension
MYGEXT	N-m	Moment	External actions	External MyG 	Sprung mass
MyRR_L1	N-m	Moment	Tires	Tire L1 roll resist moment	Tire L1 rolling resistance
MyRR_L2	N-m	Moment	Tires	Tire L2 roll resist moment	Tire L2 rolling resistance
MyRR_R1	N-m	Moment	Tires	Tire R1 roll resist moment	Tire R1 rolling resistance
MyRR_R2	N-m	Moment	Tires	Tire R2 roll resist moment	Tire R2 rolling resistance
My_Air	N-m	Moment	Aerodynamics	Vehicle aero. pitch moment	Vehicle aerodynamic Y
My_Bk_L1	N-m	Moment	Brakes	Brake moment L1	Brake L1
My_Bk_L2	N-m	Moment	Brakes	Brake moment L2	Brake L2
My_Bk_R1	N-m	Moment	Brakes	Brake moment R1	Brake R1
My_Bk_R2	N-m	Moment	Brakes	Brake moment R2	Brake R2
My_Dr_L1	N-m	Moment	Powertrain	Total drive moment for wheel L1	Drive wheel L1
My_Dr_L2	N-m	Moment	Powertrain	Total drive moment for wheel L2	Drive wheel L2
My_Dr_R1	N-m	Moment	Powertrain	Total drive moment for wheel R1	Drive wheel R1
My_Dr_R2	N-m	Moment	Powertrain	Total drive moment for wheel R2	Drive wheel R2
MY_EXT	N-m	Moment	External actions	External My 	Sprung mass
My_US_L1	N-m	Moment	Wheels	Ext moment on whl from usm L1	Wheel L1
My_US_L2	N-m	Moment	Wheels	Ext moment on whl from usm L2	Wheel L2
My_US_R1	N-m	Moment	Wheels	Ext moment on whl from usm R1	Wheel R1
